Class Name,Not Recommended,Recommended
Dresses,19.18,80.82
Knits,18.23,81.77
Blouses,18.99,81.01
Sweaters,19.96,80.04
Pants,16.71,83.29
Jeans,11.86,88.14
Fine gauge,16.27,83.73
Skirts,15.45,84.55
Jackets,15.48,84.52
Lounge,14.04,85.96
Swim,19.43,80.57
Outerwear,18.29,81.71
Shorts,16.09,83.91
Sleep,14.47,85.53
Legwear,13.94,86.06
Intimates,14.29,85.71
Layering,11.64,88.36
Trend,26.05,73.95
Unknown,0.0,100.0
Casual bottoms,0.0,100.0
Chemises,0.0,100.0
