Column,Category,Frequency,Percentage,Cumulative_Percentage
Clothing ID,474,1,0.0,98.22
Clothing ID,339,1,0.0,98.22
Clothing ID,53,1,0.0,98.22
Clothing ID,76,1,0.0,98.22
Clothing ID,765,1,0.0,98.22
Clothing ID,19,1,0.0,98.22
Clothing ID,84,1,0.0,98.22
Clothing ID,81,1,0.0,98.22
Clothing ID,192,1,0.0,98.22
Clothing ID,33,1,0.0,98.22
Clothing ID,483,1,0.0,98.22
Clothing ID,812,1,0.0,98.22
Clothing ID,325,1,0.0,98.22
Clothing ID,660,1,0.0,98.22
Clothing ID,222,1,0.0,98.22
Clothing ID,297,1,0.0,98.22
Clothing ID,712,1,0.0,98.22
Clothing ID,958,1,0.0,98.22
Clothing ID,44,1,0.0,98.22
Clothing ID,526,1,0.0,98.22
Clothing ID,309,1,0.0,98.22
Clothing ID,723,1,0.0,98.22
Clothing ID,101,1,0.0,98.22
Clothing ID,161,1,0.0,98.22
Clothing ID,922,1,0.0,98.22
Clothing ID,779,1,0.0,98.22
Clothing ID,31,1,0.0,98.22
Clothing ID,1069,1,0.0,98.22
Clothing ID,99,1,0.0,98.22
Clothing ID,140,1,0.0,98.22
Clothing ID,23,1,0.0,98.22
Clothing ID,69,1,0.0,98.22
Clothing ID,673,1,0.0,98.22
Clothing ID,810,1,0.0,98.22
Clothing ID,182,1,0.0,98.22
Clothing ID,467,1,0.0,98.22
Clothing ID,748,1,0.0,98.22
Clothing ID,426,1,0.0,98.22
Clothing ID,443,1,0.0,98.22
Clothing ID,195,1,0.0,98.22
Clothing ID,351,1,0.0,98.22
Clothing ID,566,1,0.0,98.22
Clothing ID,556,1,0.0,98.22
Clothing ID,9,1,0.0,98.22
Clothing ID,353,1,0.0,98.22
Clothing ID,559,1,0.0,98.22
Clothing ID,735,1,0.0,98.22
Clothing ID,982,1,0.0,98.22
Clothing ID,1157,1,0.0,98.22
Clothing ID,590,1,0.0,98.22
Clothing ID,849,1,0.0,98.22
Clothing ID,277,1,0.0,98.22
Clothing ID,470,1,0.0,98.22
Clothing ID,269,1,0.0,98.22
Clothing ID,459,1,0.0,98.22
Clothing ID,388,1,0.0,98.22
Clothing ID,856,1,0.0,98.22
Clothing ID,1186,1,0.0,98.22
Clothing ID,275,1,0.0,98.22
Clothing ID,95,1,0.0,98.22
Clothing ID,49,1,0.0,98.22
Clothing ID,778,1,0.0,98.22
Clothing ID,772,1,0.0,98.22
Clothing ID,16,1,0.0,98.22
Clothing ID,355,1,0.0,98.22
Clothing ID,685,1,0.0,98.22
Clothing ID,700,1,0.0,98.22
Clothing ID,372,1,0.0,98.22
Clothing ID,718,1,0.0,98.22
Clothing ID,499,1,0.0,98.22
Clothing ID,1017,1,0.0,98.22
Clothing ID,756,1,0.0,98.22
Clothing ID,106,1,0.0,98.22
Clothing ID,924,1,0.0,98.22
Clothing ID,67,1,0.0,98.22
Clothing ID,814,1,0.0,98.22
Clothing ID,699,1,0.0,98.22
Clothing ID,476,1,0.0,98.22
Clothing ID,638,1,0.0,98.22
Clothing ID,369,1,0.0,98.22
Clothing ID,317,1,0.0,98.22
Clothing ID,722,1,0.0,98.22
Clothing ID,469,1,0.0,98.22
Clothing ID,493,1,0.0,98.22
Clothing ID,913,1,0.0,98.22
Clothing ID,266,1,0.0,98.22
Clothing ID,599,1,0.0,98.22
Clothing ID,1143,1,0.0,98.22
Clothing ID,120,1,0.0,98.22
Clothing ID,484,1,0.0,98.22
Clothing ID,795,1,0.0,98.22
Clothing ID,1169,1,0.0,98.22
Clothing ID,610,1,0.0,98.22
Clothing ID,367,1,0.0,98.22
Clothing ID,665,1,0.0,98.22
Clothing ID,75,1,0.0,98.22
Clothing ID,51,1,0.0,98.22
Clothing ID,600,1,0.0,98.22
Clothing ID,608,1,0.0,98.22
Clothing ID,354,1,0.0,98.22
Clothing ID,962,1,0.0,98.22
Clothing ID,41,1,0.0,98.22
Clothing ID,587,1,0.0,98.22
Clothing ID,171,1,0.0,98.22
Clothing ID,527,1,0.0,98.22
Clothing ID,784,1,0.0,98.22
Clothing ID,957,1,0.0,98.22
Clothing ID,32,1,0.0,98.22
Clothing ID,449,1,0.0,98.22
Clothing ID,214,1,0.0,98.22
Clothing ID,1188,1,0.0,98.22
Clothing ID,6,1,0.0,98.22
Clothing ID,694,1,0.0,98.22
Clothing ID,311,1,0.0,98.22
Clothing ID,658,1,0.0,98.22
Clothing ID,1155,1,0.0,98.22
Clothing ID,224,1,0.0,98.22
Clothing ID,544,1,0.0,98.22
Clothing ID,657,1,0.0,98.22
Clothing ID,310,1,0.0,98.22
Clothing ID,497,1,0.0,98.22
Clothing ID,271,1,0.0,98.22
Clothing ID,7,1,0.0,98.22
Clothing ID,637,1,0.0,98.22
Clothing ID,217,1,0.0,98.22
Clothing ID,681,1,0.0,98.22
Clothing ID,60,1,0.0,98.22
Clothing ID,655,1,0.0,98.22
Clothing ID,507,1,0.0,98.22
Clothing ID,55,1,0.0,98.22
Clothing ID,1161,1,0.0,98.22
Clothing ID,487,1,0.0,98.22
Clothing ID,387,1,0.0,98.22
Clothing ID,345,1,0.0,98.22
Clothing ID,430,1,0.0,98.22
Clothing ID,181,1,0.0,98.22
Clothing ID,522,1,0.0,98.22
