Department Name,Not Recommended,Recommended
Tops,18.48,81.52
Dresses,19.18,80.82
Bottoms,14.87,85.13
Intimate,14.99,85.01
Jackets,16.38,83.62
Trend,26.05,73.95
Unknown,0.0,100.0
