Method,Accuracy,Balanced Accuracy,Weighted Precision,Weighted Recall,Weighted F1,ROC-AUC,CV Weighted F1 Mean,CV Weighted F1 Std,CV Balanced Accuracy Mean,CV ROC-AUC Mean
Original,0.7752234993614304,0.5009655552989284,0.7086388879945598,0.7752234993614304,0.7355000073819016,0.5106725715020903,0.7422563383928964,0.005381881787897599,0.50469141657542,0.5158057877784092
MinMaxScaler,0.7720306513409961,0.49808532042826076,0.7059057471067092,0.7720306513409961,0.7330840375009307,0.5157988966410951,0.7422039080602753,0.002536605115724896,0.5037541726353576,0.5112911464578992
RobustScaler,0.798637718177948,0.5058158081972219,0.7163733367185391,0.798637718177948,0.744074805991092,0.5301907704136123,0.739733171419443,0.0020272993445785347,0.5023517870814682,0.510196717609335
PowerTransformer,0.7926777352064709,0.5031304204947599,0.7118364422767759,0.7926777352064709,0.7411770980198553,0.5243510907256158,0.7387500284505013,0.0024291871521924923,0.5028275423856358,0.5098146960767501
StandardScaler,0.789272030651341,0.5024675991015639,0.7107351313934177,0.789272030651341,0.7400168493627587,0.5177224117646148,0.7382398203850503,0.002871376806252596,0.5024953598012859,0.5082081422440502
