Clothing ID,mean,count,Smoothed Target
1078,0.8212890625,1024,0.8213096218077909
862,0.8200992555831266,806,0.820154049839387
1094,0.8214285714285714,756,0.8214526355249145
1081,0.8487972508591065,582,0.8479190119058699
872,0.8770642201834863,545,0.875127867552803
829,0.8273244781783681,527,0.8271430441815973
1110,0.8395833333333333,480,0.8388944903346675
868,0.7558139534883721,430,0.7587716559274083
895,0.844059405940594,404,0.8430359555833343
936,0.8212290502793296,358,0.8212890083791897
867,0.811965811965812,351,0.8125262672973955
850,0.8698224852071006,338,0.8671710758864071
1095,0.7920489296636085,327,0.7937960955830944
863,0.8496732026143791,306,0.8479976845623735
1077,0.797979797979798,297,0.7995181235562578
1059,0.8095238095238095,294,0.8103415451188972
1086,0.8316151202749141,291,0.8310200809239027
1080,0.8373702422145328,289,0.8363988516742192
860,0.8020833333333334,288,0.8034001466471874
1083,0.8554216867469879,249,0.852963736681538
861,0.8401639344262295,244,0.8388153226035369
873,0.8739495798319328,238,0.8699505626640842
828,0.84,225,0.8385601843564642
1092,0.7772727272727272,220,0.7810301881972239
1033,0.8954545454545455,220,0.8893635215305572
927,0.7990654205607477,214,0.801056603279204
1056,0.8732394366197183,213,0.8688722968555096
820,0.8436018957345972,211,0.8417629660923538
836,0.7902439024390244,205,0.7930988674103722
1022,0.8878048780487805,205,0.8819877562992611
1072,0.7766497461928934,197,0.780862880955455
1008,0.9139784946236559,186,0.9050837144045327
1104,0.7675675675675676,185,0.7729133910601645
984,0.9142857142857143,175,0.9048576675247884
831,0.8353658536585366,164,0.8339524193876834
1020,0.8544303797468354,158,0.8508272200412007
833,0.7834394904458599,157,0.7878375433182697
877,0.8376623376623377,154,0.8359037078582399
854,0.8355263157894737,152,0.8339956114379868
834,0.9333333333333333,150,0.9202779127490219
1082,0.7346938775510204,147,0.7451930848343338
864,0.8275862068965517,145,0.8269530010141438
835,0.8156028368794326,141,0.8164425165672903
1099,0.8161764705882353,136,0.8169695203034214
1035,0.8592592592592593,135,0.8544983559182822
865,0.7910447761194029,134,0.7951119816060632
907,0.8692307692307693,130,0.8629816344488915
940,0.8769230769230769,130,0.8696483011155582
1087,0.6744186046511628,129,0.6942768132035821
1025,0.936,125,0.9203258287402326
909,0.8114754098360656,122,0.8130087687840404
866,0.7272727272727273,121,0.7407606040236435
975,0.7758620689655172,116,0.782700332112748
875,0.808695652173913,115,0.8107203345728424
1068,0.8333333333333334,114,0.8316958594577144
830,0.8125,112,0.8139942815707101
886,0.8867924528301887,106,0.8765654378359821
1037,0.8301886792452831,106,0.8289463902169344
823,0.7714285714285715,105,0.7795779613386699
