,Age,Rating,Recommended IND,Positive Feedback Count
Age,1.0,0.02683057465280304,0.030622054533463224,0.043078717626565045
Rating,0.02683057465280304,1.0,0.7923362879285761,-0.06496050712064395
Recommended IND,0.030622054533463224,0.7923362879285761,1.0,-0.06904528557098628
Positive Feedback Count,0.043078717626565045,-0.06496050712064395,-0.06904528557098628,1.0
