Dynamic_Age_Group_KMeans,Customer_Count,Average_Age,Average_Rating,Recommendation_Rate,Average_Positive_Feedback,Customer_Percentage
Segment 1: 18-33,5263,28.37,4.18,80.83,2.02,22.41
Segment 2: 34-44,8575,38.65,4.18,81.76,2.63,36.51
Segment 3: 45-57,6272,50.42,4.19,82.35,2.63,26.71
Segment 4: 58-99,3376,64.48,4.3,85.43,2.92,14.37
